1073741823,1073741823,1073741823,1073725439,1073741823,1073086463,1073586175,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_h4_j6_h7_g7_g8_i7_i8_h8_g9	d10	l6
1073741823,1073741823,1073741823,1073741823,1073741823,1073086207,1073586175,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_e6_j6_h7_g7_g8_i7_i8_h8_g9	e10	k6
1073741823,1073741823,1073741823,1073741823,1073741823,1073086463,1073585151,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_f7_j6_h7_g7_g8_i7_i8_h8_g9	g7	i9
1073741823,1073741823,1073741823,1073741823,1073414143,1073610751,1073586175,1073704959,1073568767,1073478655,1073741823,1073741823,1073741823,1073741823,1073741823	i6_i5_g7_j5_i7_h7_h8_g8_g9_f9_h9_f10_i9_j10	f10	j6
1073741823,1073741823,1073741823,1073676287,1073609727,1073061887,1073586175,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i5_i4_g6_f5_i6_h6_j6_h7_g7_g8_i7_i8_h8_g9	h11	h5
1073741823,1073741823,1073741823,1073741823,1073740799,1071995903,1073586175,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	g6_f5_h6_f6_i6_k6_j6_h7_g7_g8_i7_i8_h8_g9	g11	i5
1073741823,1073741823,1073741823,1073741823,1073737727,1073709055,1073586175,1073643519,1072693247,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	h6_g5_g7_h7_i7_i8_h8_k9	f10	j6
1073741823,1073741823,1073741823,1073741823,1073741823,1073184767,1073594367,1073643519,1072295935,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	h6_h7_j6_i8_i7_g9_h8_j9_i9_k9	i10	g6
1073741823,1073741823,1073741823,1073741823,1073741823,1073478655,1073586175,1073704959,1072553983,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	g7_f6_i7_j6_h8_h7_g9_g8_i9_k9	j7	f9
1073741823,1073741823,1073741823,1073741823,1073741823,1073479679,1073594367,1073643519,1072037887,1073217535,1072693247,1073741823,1073741823,1073741823,1073741823	i7_j6_h8_h7_i9_i8_j9_k9_j10_k11	h6	h10
1073741823,1073741823,1073741823,1073741823,1073741823,1073709055,1073594367,1073643519,1072693247,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	h6_h7_i7_i8_h8_k9	i10	g6
1073741823,1073741823,1073741823,1073741823,1073741823,1073725439,1073594367,1073119231,1072553983,1073740799,1073741823,1073741823,1073741823,1073741823,1073741823	i7_h6_h8_h7_j8_i8_g9_k9_i9_f10	f6	j10
1073741823,1073741823,1073741823,1073741823,1073741823,1073740799,1073586175,1073704959,1072553983,1073740799,1073741823,1073741823,1073741823,1073741823,1073741823	g7_f6_i7_h7_h8_g8_g9_k9_i9_f10	j8	f8
1073741823,1073741823,1073741823,1073741823,1073741823,1073740799,1073586175,1073704959,1072562175,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	g7_f6_i7_h7_h8_g8_i9_k9	i7	g9
1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073594367,1072005119,1072693247,1073676287,1073741823,1073741823,1073741823,1073741823,1073741823	i7_h7_h8_k8_i8_k9_j8_i10	i6	i5
1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073594367,1073183743,1072693247,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i7_h7_h8_f8_j8_k9	i8	i9
1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073594367,1073643519,1072037887,1073201151,1072693247,1073741823,1073741823,1073741823,1073741823	i7_h7_h8_i8_i9_k9_j9_h10_j10_k11	j8	j11
1073741823,1073741823,1073741823,1073741823,1073741823,1073086463,1073585151,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_f7_j6_h7_g7_g8_i7_i8_h8_g9	g7	i9
1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1072541439,1073180671,1073602559,1073708031,1073741823,1073741823,1073741823,1073741823,1073741823	i7_e7_h8_g7_j8_h7_g9_k7_i9_g8_h10_f10	e7	k9
1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073588991,1073180671,1073602559,1073708031,1073741823,1073741823,1073741823,1073741823,1073741823	i7_e7_h8_f7_j8_g7_g9_h7_i9_g8_h10_f10	l9	d7
1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073589951,1073180671,1073602559,1073708031,1073741823,1073741823,1073741823,1073741823,1073741823	i7_d7_h8_e7_j8_g7_g9_h7_i9_g8_h10_f10	j9	f7
1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073590015,1073180671,1073602559,1073708031,1073737727,1073741823,1073741823,1073741823,1073741823	i7_e7_h8_g7_j8_h7_g9_g8_i9_f10_h10_g11	g10	i6
1073741823,1073741823,1073741823,1073741823,1073676287,1066795007,1073586175,1073442815,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_i5_j6_l6_k6_h7_g7_g8_i7_j8_h8_g9	g7	i9
1073741823,1073741823,1073741823,1073741823,1073676287,1073086463,1073586175,1073442815,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_i5_j6_h7_g7_g8_i7_j8_h8_g9	e10	k6
1073741823,1073741823,1073741823,1073741823,1073741823,1073471487,1073590271,1073635327,1073438719,1071382527,1069547519,1073741823,1073741823,1073741823,1073741823	g6_j6_i7_g7_g8_h7_h8_i8_g9_j9_h9_j10_k10_l11	f9	f7
1073741823,1073741823,1073741823,1073725439,1073741823,1064681471,1073586175,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_h4_j6_h6_l6_h7_g7_g8_i7_i8_h8_g9	e11	k5
1073741823,1073741823,1073741823,1073725439,1073741823,1073086463,1073586175,1073639423,1073737727,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823	i6_h4_j6_h7_g7_g8_i7_i8_h8_g9	d10	l6
